<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;D;20200202;000000;1.1084600;1.1095000;1.1078800;1.1089100;114784
EURUSD;D;20200203;000000;1.1089100;1.1089100;1.1034500;1.1061000;941276
EURUSD;D;20200204;000000;1.1062000;1.1064200;1.1031000;1.1044600;917686
EURUSD;D;20200205;000000;1.1044300;1.1047900;1.0992000;1.1000400;1341541
EURUSD;D;20200206;000000;1.1000300;1.1014000;1.0963000;1.0980700;1264683
EURUSD;D;20200207;000000;1.0980800;1.0985000;1.0940000;1.0944000;1426180
EURUSD;D;20200209;000000;1.0946700;1.0951400;1.0940100;1.0949000;58558
EURUSD;D;20200210;000000;1.0948400;1.0957500;1.0906700;1.0910100;1227213
EURUSD;D;20200211;000000;1.0910100;1.0924800;1.0890200;1.0918900;1237668
EURUSD;D;20200212;000000;1.0918900;1.0925600;1.0863000;1.0874700;1320244
EURUSD;D;20200213;000000;1.0874700;1.0889000;1.0833000;1.0840300;1312373
EURUSD;D;20200214;000000;1.0841300;1.0861200;1.0825900;1.0830100;1161853
EURUSD;D;20200216;000000;1.0824000;1.0844000;1.0818900;1.0840300;63486
EURUSD;D;20200217;000000;1.0841300;1.0851000;1.0827000;1.0835000;844744
EURUSD;D;20200218;000000;1.0836100;1.0837300;1.0783800;1.0794700;1341478
EURUSD;D;20200219;000000;1.0794700;1.0812000;1.0780000;1.0809600;1285243
EURUSD;D;20200220;000000;1.0808200;1.0821100;1.0776500;1.0787500;1517435
EURUSD;D;20200221;000000;1.0786700;1.0863500;1.0785000;1.0847100;1466565
EURUSD;D;20200223;000000;1.0846000;1.0848300;1.0809000;1.0838500;121783
EURUSD;D;20200224;000000;1.0838600;1.0872200;1.0804000;1.0848700;1776645
EURUSD;D;20200225;000000;1.0848300;1.0890200;1.0828000;1.0879500;1780873
EURUSD;D;20200226;000000;1.0879700;1.0908700;1.0854000;1.0886200;1937852
EURUSD;D;20200227;000000;1.0886400;1.1006600;1.0883000;1.0996300;2073950
EURUSD;D;20200228;000000;1.0996500;1.1053100;1.0948900;1.1028900;2382305
EURUSD;D;20200301;000000;1.1012400;1.1073900;1.1009900;1.1051700;113544
EURUSD;D;20200302;000000;1.1050200;1.1184600;1.1034200;1.1144300;2869421
EURUSD;D;20200303;000000;1.1143400;1.1212900;1.1094000;1.1176500;2229928
EURUSD;D;20200304;000000;1.1175600;1.1187600;1.1094000;1.1138000;2043148
EURUSD;D;20200305;000000;1.1138200;1.1245000;1.1118000;1.1222500;2002107
EURUSD;D;20200306;000000;1.1222600;1.1354800;1.1210400;1.1285000;2652440
EURUSD;D;20200308;000000;1.1290000;1.1396500;1.1290000;1.1386800;296701
EURUSD;D;20200309;000000;1.1387700;1.1496100;1.1354800;1.1399100;3642665
EURUSD;D;20200310;000000;1.1399000;1.1425300;1.1273300;1.1313600;3408687
EURUSD;D;20200311;000000;1.1313700;1.1366700;1.1249000;1.1260500;2503228
EURUSD;D;20200312;000000;1.1261100;1.1333600;1.1053600;1.1182200;3270007
EURUSD;D;20200313;000000;1.1182300;1.1221300;1.1053300;1.1105000;3346280
EURUSD;D;20200315;000000;1.1098000;1.1199500;1.1047000;1.1155400;481148
EURUSD;D;20200316;000000;1.1153600;1.1236700;1.1082300;1.1163600;5165142
EURUSD;D;20200317;000000;1.1163500;1.1189300;1.0952500;1.1016100;4158711
EURUSD;D;20200318;000000;1.1015300;1.1045400;1.0800000;1.0943000;4634911
EURUSD;D;20200319;000000;1.0943300;1.0949200;1.0652000;1.0654100;4645624
EURUSD;D;20200320;000000;1.0654000;1.0831000;1.0635800;1.0692900;5198445
EURUSD;D;20200322;000000;1.0690000;1.0712000;1.0633000;1.0688300;480482
EURUSD;D;20200323;000000;1.0686800;1.0828200;1.0656000;1.0763200;4417041
EURUSD;D;20200324;000000;1.0761200;1.0888100;1.0743900;1.0797800;3949246
EURUSD;D;20200325;000000;1.0798200;1.0894000;1.0758000;1.0888000;3693649
EURUSD;D;20200326;000000;1.0887700;1.1058900;1.0872500;1.1046900;3336104
EURUSD;D;20200327;000000;1.1047400;1.1147300;1.0951900;1.1140000;3301140
EURUSD;D;20200329;000000;1.1140000;1.1144400;1.1103600;1.1136100;149503
EURUSD;D;20200330;000000;1.1136300;1.1138500;1.1008000;1.1029200;2784462
EURUSD;D;20200331;000000;1.1028700;1.1043000;1.0924600;1.1026300;3126786
EURUSD;D;20200401;000000;1.1025700;1.1036200;1.0900900;1.0950000;2565342
EURUSD;D;20200402;000000;1.0951500;1.0964500;1.0819000;1.0845600;2537644
EURUSD;D;20200403;000000;1.0845900;1.0855300;1.0770900;1.0812400;2451479
EURUSD;D;20200405;000000;1.0820000;1.0821800;1.0801500;1.0804700;179033
EURUSD;D;20200406;000000;1.0805200;1.0835600;1.0767500;1.0798900;2332219
EURUSD;D;20200407;000000;1.0798400;1.0926600;1.0788400;1.0893100;2309629
EURUSD;D;20200408;000000;1.0893200;1.0897000;1.0827800;1.0859600;2222851
EURUSD;D;20200409;000000;1.0859600;1.0951700;1.0839000;1.0922300;2099473
EURUSD;D;20200410;000000;1.0922800;1.0952700;1.0917000;1.0936200;815138
